category,code,shape_name,velocity_mean,predicted,error,abs_error,pct_error
PLA CUBE,CUBE-20,Cube,6.03,3.5491987500000057,2.4808012499999945,2.4808012499999945,41.140982587064585
PLA CUBE,CUBE-21,Cube,3.673333333333333,3.765798333333334,-0.09246500000000113,0.09246500000000113,2.5171960072595594
PLA CUBE,CUBE-22,Cube,6.103333333333333,4.536475444444447,1.5668578888888858,1.5668578888888858,25.672166393591795
PLA CUBE,CUBE-23,Cube,5.454999999999999,4.919643055555559,0.5353569444444402,0.5353569444444402,9.814059476525028
PLA CUBE,CUBE-24,Cube,3.868,3.91498916666667,-0.04698916666667019,0.04698916666667019,1.2148181661496946
PLA CUBE,CUBE-26,Cube,6.800000000000001,5.240913333333338,1.559086666666663,1.559086666666663,22.92774509803916
PLA CUBE,CUBE-27,Cube,5.9125,4.588943583333335,1.3235564166666647,1.3235564166666647,22.385732205778687
PLA CUBE,CUBE-28,Cube,6.759999999999999,5.584246583333338,1.1757534166666606,1.1757534166666606,17.392802021696166
PLA CUBE,CUBE-3,Cube,5.8660000000000005,4.238285888888892,1.6277141111111089,1.6277141111111089,27.74828010758794
PLA CUBE,CUBE-4,Cube,6.1,3.728639166666674,2.3713608333333256,2.3713608333333256,38.874767759562715
PLA CUBE,CUBE-5,Cube,6.52,4.222755000000005,2.297244999999995,2.297244999999995,35.23381901840483
PLA CUBE,CUBE-6,Cube,7.09,4.686214583333336,2.403785416666664,2.403785416666664,33.903884579219515
PLA CUBE,CUBE-7,Cube,5.942,4.113783333333338,1.8282166666666626,1.8282166666666626,30.76769886682367
PLA CUBE,CUBE-8,Cube,7.505,4.229753666666673,3.2752463333333273,3.2752463333333273,43.640857206306826
PLA CUBE,CUBE-9,Cube,6.673333333333333,3.7971224999999964,2.8762108333333365,2.8762108333333365,43.100062437562485
PLA HC,HC-1,Half Cylinder,4.8260000000000005,4.22418333333333,0.6018166666666707,0.6018166666666707,12.470299765161014
PLA HC,HC-11,Half Cylinder,4.953333333333333,4.044026666666665,0.9093066666666685,0.9093066666666685,18.357469717362083
PLA HC,HC-12,Half Cylinder,5.485,3.730439999999998,1.7545600000000023,1.7545600000000023,31.98833181403833
PLA HC,HC-4,Half Cylinder,4.33,3.684438333333335,0.6455616666666653,0.6455616666666653,14.909045419553472
PLA HC,HC-6,Half Cylinder,4.824999999999999,3.7690349999999984,1.055965000000001,1.055965000000001,21.885284974093285
PLA HC,HC-9,Half Cylinder,5.255000000000001,3.9225316666666634,1.3324683333333374,1.3324683333333374,25.35620044402164
RESIN (a=6 r=3),C-1,Cylinder,9.163333333333332,4.8783249999999985,4.285008333333334,4.285008333333334,46.76255001818844
RESIN (a=6 r=3),C-2,Cylinder,9.708333333333334,4.692348333333331,5.015985000000003,5.015985000000003,51.666798283261826
RESIN (a=6 r=3),C-3,Cylinder,9.0575,4.634841666666665,4.4226583333333345,4.4226583333333345,48.82868709172878
RESIN (a=6 r=3),C-4,Cylinder,9.239999999999998,4.8783249999999985,4.361675,4.361675,47.2042748917749
RESIN (a=6 r=3),C-5,Cylinder,7.3066666666666675,4.790081666666665,2.5165850000000027,2.5165850000000027,34.44231295620441
RESIN (a=6 r=3),CUBE-1,Cube,8.1,4.830387916666667,3.2696120833333326,3.2696120833333326,40.36558127572016
RESIN (a=6 r=3),CUBE-2,Cube,8.738333333333333,4.852627916666668,3.8857054166666654,3.8857054166666654,44.46735170703794
RESIN (a=6 r=3),CUBE-3,Cube,9.75,4.8516579166666665,4.8983420833333335,4.8983420833333335,50.239405982905986
RESIN (a=6 r=3),CUBE-4,Cube,8.45,4.852204583333333,3.597795416666666,3.597795416666666,42.57746055226824
RESIN (a=6 r=3),CUBE-5,Cube,8.015,4.828606250000001,3.1863937499999997,3.1863937499999997,39.755380536494066
RESIN (a=6 r=3),CUBE-6,Cube,8.455,4.830387916666667,3.624612083333333,3.624612083333333,42.86945101517839
RESIN (a=6 r=3),D-1,Elliptic Cylinder,3.5083333333333333,3.745576666666669,-0.23724333333333592,0.23724333333333592,6.762280285035703
RESIN (a=6 r=3),D-2,Elliptic Cylinder,3.125,3.7594933333333365,-0.6344933333333365,0.6344933333333365,20.303786666666767
RESIN (a=6 r=3),D-3,Elliptic Cylinder,2.982,3.745576666666669,-0.763576666666669,0.763576666666669,25.60619271182659
RESIN (a=6 r=3),D-4,Elliptic Cylinder,2.9800000000000004,3.7558200000000026,-0.7758200000000022,0.7758200000000022,26.034228187919535
RESIN (a=6 r=3),D-5,Elliptic Cylinder,2.538,3.745576666666669,-1.2075766666666694,1.2075766666666694,47.57985290254805
RESIN (a=6 r=3),D-6,Elliptic Cylinder,2.6633333333333336,3.737026666666669,-1.0736933333333356,1.0736933333333356,40.31389236545691
RESIN (a=6 r=3),D-7,Elliptic Cylinder,3.3200000000000003,3.807330000000003,-0.4873300000000027,0.4873300000000027,14.678614457831404
